Indicator,RegionID,Date,Year,Home_value,Mongo_ID,City_Name,City_Size
ZATT,42415,5/31/2016,2016,294327,60403049bff9453704dc75cd,"Waterloo, IA",Medium
ZATT,42415,4/30/2016,2016,293358,60403049bff9453704dc75ce,"Waterloo, IA",Medium
ZATT,42415,3/31/2016,2016,292365,60403049bff9453704dc75cf,"Waterloo, IA",Medium
ZATT,42415,2/29/2016,2016,291146,60403049bff9453704dc75d0,"Waterloo, IA",Medium
ZATT,42415,1/31/2016,2016,290261,60403049bff9453704dc75d1,"Waterloo, IA",Medium
ZATT,42415,12/31/2015,2015,289497,60403049bff9453704dc75d2,"Waterloo, IA",Medium
ZATT,42415,11/30/2015,2015,289168,60403049bff9453704dc75d3,"Waterloo, IA",Medium
ZATT,42415,10/31/2015,2015,288624,60403049bff9453704dc75d4,"Waterloo, IA",Medium
ZATT,42415,9/30/2015,2015,288008,60403049bff9453704dc75d5,"Waterloo, IA",Medium
ZATT,42415,8/31/2015,2015,287471,60403049bff9453704dc75d6,"Waterloo, IA",Medium
ZATT,42415,7/31/2015,2015,286617,60403049bff9453704dc75d7,"Waterloo, IA",Medium
ZATT,42415,6/30/2015,2015,285443,60403049bff9453704dc75d8,"Waterloo, IA",Medium
ZATT,42415,5/31/2015,2015,284154,60403049bff9453704dc75d9,"Waterloo, IA",Medium
ZATT,42415,4/30/2015,2015,283312,60403049bff9453704dc75da,"Waterloo, IA",Medium
ZATT,42415,3/31/2015,2015,282904,60403049bff9453704dc75db,"Waterloo, IA",Medium
ZATT,42415,2/28/2015,2015,282095,60403049bff9453704dc75dc,"Waterloo, IA",Medium
ZATT,42415,1/31/2015,2015,281095,60403049bff9453704dc75dd,"Waterloo, IA",Medium
ZATT,42415,12/31/2014,2014,279882,60403049bff9453704dc75de,"Waterloo, IA",Medium
ZATT,42415,11/30/2014,2014,279083,60403049bff9453704dc75df,"Waterloo, IA",Medium
ZATT,42415,10/31/2014,2014,278211,60403049bff9453704dc75e0,"Waterloo, IA",Medium
ZATT,42415,9/30/2014,2014,277474,60403049bff9453704dc75e1,"Waterloo, IA",Medium
ZATT,42415,8/31/2014,2014,276601,60403049bff9453704dc75e2,"Waterloo, IA",Medium
ZATT,42415,7/31/2014,2014,276025,60403049bff9453704dc75e3,"Waterloo, IA",Medium
ZATT,42415,6/30/2014,2014,275313,60403049bff9453704dc75e4,"Waterloo, IA",Medium
ZATT,42415,5/31/2014,2014,274300,60403049bff9453704dc75e5,"Waterloo, IA",Medium
ZATT,42415,4/30/2014,2014,272670,60403049bff9453704dc75e6,"Waterloo, IA",Medium
ZATT,42415,3/31/2014,2014,271151,60403049bff9453704dc75e7,"Waterloo, IA",Medium
ZATT,42415,2/28/2014,2014,269988,60403049bff9453704dc75e8,"Waterloo, IA",Medium
ZATT,42415,1/31/2014,2014,269246,60403049bff9453704dc75e9,"Waterloo, IA",Medium
ZATT,42415,12/31/2013,2013,268702,60403049bff9453704dc75ea,"Waterloo, IA",Medium
ZATT,42415,11/30/2013,2013,268718,60403049bff9453704dc75eb,"Waterloo, IA",Medium
ZATT,42415,10/31/2013,2013,268766,60403049bff9453704dc75ec,"Waterloo, IA",Medium
ZATT,42415,9/30/2013,2013,269136,60403049bff9453704dc75ed,"Waterloo, IA",Medium
ZATT,42415,8/31/2013,2013,268754,60403049bff9453704dc75ee,"Waterloo, IA",Medium
ZATT,42415,7/31/2013,2013,267871,60403049bff9453704dc75ef,"Waterloo, IA",Medium
ZATT,42415,6/30/2013,2013,266696,60403049bff9453704dc75f0,"Waterloo, IA",Medium
ZATT,42415,5/31/2013,2013,266065,60403049bff9453704dc75f1,"Waterloo, IA",Medium
ZATT,42415,4/30/2013,2013,266381,60403049bff9453704dc75f2,"Waterloo, IA",Medium
ZATT,42415,3/31/2013,2013,266431,60403049bff9453704dc75f3,"Waterloo, IA",Medium
ZATT,42415,2/28/2013,2013,267349,60403049bff9453704dc75f4,"Waterloo, IA",Medium
ZATT,42415,1/31/2013,2013,267488,60403049bff9453704dc75f5,"Waterloo, IA",Medium
ZATT,42415,12/31/2012,2012,267810,60403049bff9453704dc75f6,"Waterloo, IA",Medium
ZATT,42415,11/30/2012,2012,265540,60403049bff9453704dc75f7,"Waterloo, IA",Medium
ZATT,42415,10/31/2012,2012,263798,60403049bff9453704dc75f8,"Waterloo, IA",Medium
ZATT,42415,9/30/2012,2012,261292,60403049bff9453704dc75f9,"Waterloo, IA",Medium
ZATT,42415,8/31/2012,2012,260504,60403049bff9453704dc75fa,"Waterloo, IA",Medium
ZATT,42415,7/31/2012,2012,261240,60403049bff9453704dc75fb,"Waterloo, IA",Medium
ZATT,42415,6/30/2012,2012,262621,60403049bff9453704dc75fc,"Waterloo, IA",Medium
ZATT,42415,5/31/2012,2012,263732,60403049bff9453704dc75fd,"Waterloo, IA",Medium
ZATT,42415,4/30/2012,2012,263223,60403049bff9453704dc75fe,"Waterloo, IA",Medium
ZATT,42415,3/31/2012,2012,262789,60403049bff9453704dc75ff,"Waterloo, IA",Medium
ZATT,42415,2/29/2012,2012,262151,60403049bff9453704dc7600,"Waterloo, IA",Medium
ZATT,42415,1/31/2012,2012,261813,60403049bff9453704dc7601,"Waterloo, IA",Medium
ZATT,42415,12/31/2011,2011,261148,60403049bff9453704dc7602,"Waterloo, IA",Medium
ZATT,42415,11/30/2011,2011,261146,60403049bff9453704dc7603,"Waterloo, IA",Medium
ZATT,42415,10/31/2011,2011,260798,60403049bff9453704dc7604,"Waterloo, IA",Medium
ZATT,42415,9/30/2011,2011,260927,60403049bff9453704dc7605,"Waterloo, IA",Medium
ZATT,42415,8/31/2011,2011,260882,60403049bff9453704dc7606,"Waterloo, IA",Medium
ZATT,42415,7/31/2011,2011,260543,60403049bff9453704dc7607,"Waterloo, IA",Medium
ZATT,42415,6/30/2011,2011,259946,60403049bff9453704dc7608,"Waterloo, IA",Medium
ZATT,42415,5/31/2011,2011,259014,60403049bff9453704dc7609,"Waterloo, IA",Medium
ZATT,42415,4/30/2011,2011,258421,60403049bff9453704dc760a,"Waterloo, IA",Medium
ZATT,42415,3/31/2011,2011,258304,60403049bff9453704dc760b,"Waterloo, IA",Medium
ZATT,42415,2/28/2011,2011,257267,60403049bff9453704dc760c,"Waterloo, IA",Medium
ZATT,42415,1/31/2011,2011,256231,60403049bff9453704dc760d,"Waterloo, IA",Medium
ZATT,42415,12/31/2010,2010,254927,60403049bff9453704dc760e,"Waterloo, IA",Medium
ZATT,42415,11/30/2010,2010,255580,60403049bff9453704dc760f,"Waterloo, IA",Medium
ZATT,42415,10/31/2010,2010,256049,60403049bff9453704dc7610,"Waterloo, IA",Medium
ZATT,42415,9/30/2010,2010,256533,60403049bff9453704dc7611,"Waterloo, IA",Medium
ZATT,42415,8/31/2010,2010,255753,60403049bff9453704dc7612,"Waterloo, IA",Medium
ZATT,42415,7/31/2010,2010,253939,60403049bff9453704dc7613,"Waterloo, IA",Medium
ZATT,42415,6/30/2010,2010,252385,60403049bff9453704dc7614,"Waterloo, IA",Medium
ZATT,42415,5/31/2010,2010,251680,60403049bff9453704dc7615,"Waterloo, IA",Medium
ZATT,42415,4/30/2010,2010,251927,60403049bff9453704dc7616,"Waterloo, IA",Medium
ZATT,42415,3/31/2010,2010,251255,60403049bff9453704dc7617,"Waterloo, IA",Medium
ZATT,42415,2/28/2010,2010,251576,60403049bff9453704dc7618,"Waterloo, IA",Medium
ZATT,42415,1/31/2010,2010,252525,60403049bff9453704dc7619,"Waterloo, IA",Medium
ZATT,42415,12/31/2009,2009,254302,60403049bff9453704dc761a,"Waterloo, IA",Medium
ZATT,42415,11/30/2009,2009,254099,60403049bff9453704dc761b,"Waterloo, IA",Medium
ZATT,42415,10/31/2009,2009,253911,60403049bff9453704dc761c,"Waterloo, IA",Medium
ZATT,42415,9/30/2009,2009,253625,60403049bff9453704dc761d,"Waterloo, IA",Medium
ZATT,42415,8/31/2009,2009,254486,60403049bff9453704dc761e,"Waterloo, IA",Medium
ZATT,42415,7/31/2009,2009,255500,60403049bff9453704dc761f,"Waterloo, IA",Medium
ZATT,42415,6/30/2009,2009,256223,60403049bff9453704dc7620,"Waterloo, IA",Medium
ZATT,42415,5/31/2009,2009,255961,60403049bff9453704dc7621,"Waterloo, IA",Medium
ZATT,42415,4/30/2009,2009,256032,60403049bff9453704dc7622,"Waterloo, IA",Medium
ZATT,42415,3/31/2009,2009,256607,60403049bff9453704dc7623,"Waterloo, IA",Medium
ZATT,42415,2/28/2009,2009,256981,60403049bff9453704dc7624,"Waterloo, IA",Medium
ZATT,42415,1/31/2009,2009,256239,60403049bff9453704dc7625,"Waterloo, IA",Medium
ZATT,42415,12/31/2008,2008,254786,60403049bff9453704dc7626,"Waterloo, IA",Medium
ZATT,42415,11/30/2008,2008,253951,60403049bff9453704dc7627,"Waterloo, IA",Medium
ZATT,42415,10/31/2008,2008,253703,60403049bff9453704dc7628,"Waterloo, IA",Medium
ZATT,42415,9/30/2008,2008,253746,60403049bff9453704dc7629,"Waterloo, IA",Medium
ZATT,42415,8/31/2008,2008,253521,60403049bff9453704dc762a,"Waterloo, IA",Medium
ZATT,42415,7/31/2008,2008,253239,60403049bff9453704dc762b,"Waterloo, IA",Medium
ZATT,42415,6/30/2008,2008,253016,60403049bff9453704dc762c,"Waterloo, IA",Medium
ZATT,42415,5/31/2008,2008,253195,60403049bff9453704dc762d,"Waterloo, IA",Medium
ZATT,42415,4/30/2008,2008,252794,60403049bff9453704dc762e,"Waterloo, IA",Medium
ZATT,42415,3/31/2008,2008,252346,60403049bff9453704dc762f,"Waterloo, IA",Medium
ZATT,42415,2/29/2008,2008,251930,60403049bff9453704dc7630,"Waterloo, IA",Medium
ZATT,42415,1/31/2008,2008,251936,60403049bff9453704dc7631,"Waterloo, IA",Medium
ZATT,42415,12/31/2007,2007,252712,60403049bff9453704dc7632,"Waterloo, IA",Medium
ZATT,42415,11/30/2007,2007,253368,60403049bff9453704dc7633,"Waterloo, IA",Medium
ZATT,42415,10/31/2007,2007,253949,60403049bff9453704dc7634,"Waterloo, IA",Medium
ZATT,42415,9/30/2007,2007,253482,60403049bff9453704dc7635,"Waterloo, IA",Medium
ZATT,42415,8/31/2007,2007,252654,60403049bff9453704dc7636,"Waterloo, IA",Medium
ZATT,42415,7/31/2007,2007,251334,60403049bff9453704dc7637,"Waterloo, IA",Medium
ZATT,42415,6/30/2007,2007,250219,60403049bff9453704dc7638,"Waterloo, IA",Medium
ZATT,42415,5/31/2007,2007,249276,60403049bff9453704dc7639,"Waterloo, IA",Medium
ZATT,42415,4/30/2007,2007,248283,60403049bff9453704dc763a,"Waterloo, IA",Medium
ZATT,42415,3/31/2007,2007,247340,60403049bff9453704dc763b,"Waterloo, IA",Medium
ZATT,42415,2/28/2007,2007,245096,60403049bff9453704dc763c,"Waterloo, IA",Medium
ZATT,42415,1/31/2007,2007,243539,60403049bff9453704dc763d,"Waterloo, IA",Medium
ZATT,42415,12/31/2006,2006,242190,60403049bff9453704dc763e,"Waterloo, IA",Medium
ZATT,42415,11/30/2006,2006,241837,60403049bff9453704dc763f,"Waterloo, IA",Medium
ZATT,42415,10/31/2006,2006,240797,60403049bff9453704dc7640,"Waterloo, IA",Medium
ZATT,42415,9/30/2006,2006,239452,60403049bff9453704dc7641,"Waterloo, IA",Medium
ZATT,42415,8/31/2006,2006,238123,60403049bff9453704dc7642,"Waterloo, IA",Medium
ZATT,42415,7/31/2006,2006,236931,60403049bff9453704dc7643,"Waterloo, IA",Medium
ZATT,42415,6/30/2006,2006,235343,60403049bff9453704dc7644,"Waterloo, IA",Medium
ZATT,42415,5/31/2006,2006,233342,60403049bff9453704dc7645,"Waterloo, IA",Medium
ZATT,42415,4/30/2006,2006,231287,60403049bff9453704dc7646,"Waterloo, IA",Medium
ZATT,42415,3/31/2006,2006,228912,60403049bff9453704dc7647,"Waterloo, IA",Medium
ZATT,42415,2/28/2006,2006,227194,60403049bff9453704dc7648,"Waterloo, IA",Medium
ZATT,42415,1/31/2006,2006,224758,60403049bff9453704dc7649,"Waterloo, IA",Medium
ZATT,42415,12/31/2005,2005,221735,60403049bff9453704dc764a,"Waterloo, IA",Medium
ZATT,42415,11/30/2005,2005,219688,60403049bff9453704dc764b,"Waterloo, IA",Medium
ZATT,42415,10/31/2005,2005,217340,60403049bff9453704dc764c,"Waterloo, IA",Medium
ZATT,41715,1/31/2021,2021,506662,604031bdbff9453704dc7d30,"Williamsburg, VA",Medium
ZATT,41715,12/31/2020,2020,502503,604031bdbff9453704dc7d31,"Williamsburg, VA",Medium
ZATT,41715,11/30/2020,2020,498478,604031bdbff9453704dc7d32,"Williamsburg, VA",Medium
ZATT,41715,10/31/2020,2020,495366,604031bdbff9453704dc7d33,"Williamsburg, VA",Medium
ZATT,41715,9/30/2020,2020,493170,604031bdbff9453704dc7d34,"Williamsburg, VA",Medium
ZATT,41715,8/31/2020,2020,486805,604031bdbff9453704dc7d35,"Williamsburg, VA",Medium
ZATT,41715,7/31/2020,2020,484129,604031bdbff9453704dc7d36,"Williamsburg, VA",Medium
ZATT,41715,6/30/2020,2020,490071,604031bdbff9453704dc7d37,"Williamsburg, VA",Medium
ZATT,41715,5/31/2020,2020,490502,604031bdbff9453704dc7d38,"Williamsburg, VA",Medium
ZATT,41715,4/30/2020,2020,488950,604031bdbff9453704dc7d39,"Williamsburg, VA",Medium
ZATT,41715,3/31/2020,2020,487570,604031bdbff9453704dc7d3a,"Williamsburg, VA",Medium
ZATT,41715,2/29/2020,2020,486553,604031bdbff9453704dc7d3b,"Williamsburg, VA",Medium
ZATT,41715,1/31/2020,2020,486381,604031bdbff9453704dc7d3c,"Williamsburg, VA",Medium
ZATT,41715,12/31/2019,2019,486562,604031bdbff9453704dc7d3d,"Williamsburg, VA",Medium
ZATT,41715,11/30/2019,2019,486697,604031bdbff9453704dc7d3e,"Williamsburg, VA",Medium
ZATT,41715,10/31/2019,2019,486755,604031bdbff9453704dc7d3f,"Williamsburg, VA",Medium
ZATT,41715,9/30/2019,2019,486991,604031bdbff9453704dc7d40,"Williamsburg, VA",Medium
ZATT,41715,8/31/2019,2019,487405,604031bdbff9453704dc7d41,"Williamsburg, VA",Medium
ZATT,41715,7/31/2019,2019,487336,604031bdbff9453704dc7d42,"Williamsburg, VA",Medium
ZATT,41715,6/30/2019,2019,487492,604031bdbff9453704dc7d43,"Williamsburg, VA",Medium
ZATT,41715,5/31/2019,2019,487893,604031bdbff9453704dc7d44,"Williamsburg, VA",Medium
ZATT,41715,4/30/2019,2019,488977,604031bdbff9453704dc7d45,"Williamsburg, VA",Medium
ZATT,41715,3/31/2019,2019,489106,604031bdbff9453704dc7d46,"Williamsburg, VA",Medium
ZATT,41715,2/28/2019,2019,488490,604031bdbff9453704dc7d47,"Williamsburg, VA",Medium
ZATT,41715,1/31/2019,2019,487125,604031bdbff9453704dc7d48,"Williamsburg, VA",Medium
ZATT,41715,12/31/2018,2018,486071,604031bdbff9453704dc7d49,"Williamsburg, VA",Medium
ZATT,41715,11/30/2018,2018,484992,604031bdbff9453704dc7d4a,"Williamsburg, VA",Medium
ZATT,41715,10/31/2018,2018,484036,604031bdbff9453704dc7d4b,"Williamsburg, VA",Medium
ZATT,41715,9/30/2018,2018,482879,604031bdbff9453704dc7d4c,"Williamsburg, VA",Medium
ZATT,41715,8/31/2018,2018,481859,604031bdbff9453704dc7d4d,"Williamsburg, VA",Medium
ZATT,41715,7/31/2018,2018,481238,604031bdbff9453704dc7d4e,"Williamsburg, VA",Medium
ZATT,41715,6/30/2018,2018,480706,604031bdbff9453704dc7d4f,"Williamsburg, VA",Medium
ZATT,41715,5/31/2018,2018,479352,604031bdbff9453704dc7d50,"Williamsburg, VA",Medium
ZATT,41715,4/30/2018,2018,478049,604031bdbff9453704dc7d51,"Williamsburg, VA",Medium
ZATT,41715,3/31/2018,2018,477639,604031bdbff9453704dc7d52,"Williamsburg, VA",Medium
ZATT,41715,2/28/2018,2018,478052,604031bdbff9453704dc7d53,"Williamsburg, VA",Medium
ZATT,41715,1/31/2018,2018,477701,604031bdbff9453704dc7d54,"Williamsburg, VA",Medium
ZATT,41715,12/31/2017,2017,476413,604031bdbff9453704dc7d55,"Williamsburg, VA",Medium
ZATT,41715,11/30/2017,2017,475251,604031bdbff9453704dc7d56,"Williamsburg, VA",Medium
ZATT,41715,10/31/2017,2017,474514,604031bdbff9453704dc7d57,"Williamsburg, VA",Medium
ZATT,41715,9/30/2017,2017,473825,604031bdbff9453704dc7d58,"Williamsburg, VA",Medium
ZATT,41715,8/31/2017,2017,472772,604031bdbff9453704dc7d59,"Williamsburg, VA",Medium
ZATT,41715,7/31/2017,2017,471947,604031bdbff9453704dc7d5a,"Williamsburg, VA",Medium
ZATT,41715,6/30/2017,2017,470943,604031bdbff9453704dc7d5b,"Williamsburg, VA",Medium
ZATT,41715,5/31/2017,2017,470658,604031bdbff9453704dc7d5c,"Williamsburg, VA",Medium
ZATT,41715,4/30/2017,2017,469787,604031bdbff9453704dc7d5d,"Williamsburg, VA",Medium
ZATT,41715,3/31/2017,2017,469622,604031bdbff9453704dc7d5e,"Williamsburg, VA",Medium
ZATT,41715,2/28/2017,2017,468998,604031bdbff9453704dc7d5f,"Williamsburg, VA",Medium
