RegionID,Year,Home_value
41715,2010,466893
41715,2010,468126
41715,2010,469470
41715,2010,470284
41715,2010,471013
41715,2010,471314
41715,2010,471956
41715,2010,473230
41715,2009,475004
41715,2009,476808
41715,2009,478969
41715,2009,480777
41715,2009,482927
41715,2009,485087
41715,2009,488249
41715,2009,491597
41715,2009,494646
41715,2009,497459
41715,2009,499802
41715,2009,501635
41715,2008,503571
41715,2008,505263
41715,2008,507275
41715,2008,510656
41715,2008,514052
41715,2008,517164
41715,2008,518255
41715,2008,520102
41715,2008,523187
41715,2008,526828
41715,2008,529153
41715,2008,531722
41715,2007,532570
41715,2007,535942
41715,2007,537791
41715,2007,539759
41715,2007,540741
41715,2007,542518
41715,2007,545357
41715,2007,546190
41715,2007,545758
41715,2007,543773
41715,2007,542516
41715,2007,540503
41715,2006,539745
41715,2006,537719
41715,2006,536227
41715,2006,533917
41715,2006,531257
41715,2006,528182
41715,2006,524125
41715,2006,520340
41715,2006,516062
41715,2006,511576
41715,2006,507337
41715,2006,502980
41715,2005,498690
41715,2005,491887
41715,2005,484980
41715,2005,478249
41715,2005,473121
41715,2005,467787
41715,2005,461317
41715,2005,454940
41715,2005,448533
41715,2005,444452
41715,2005,440514
41715,2005,437161
41715,2004,432090
41715,2004,428452
41715,2004,423747
41715,2004,418982
41715,2004,412667
41715,2004,406697
41715,2004,402386
41715,2004,398839
41715,2004,395534
41715,2004,391303
41715,2004,387345
41715,2004,383882
41715,2003,381479
41715,2003,378186
41715,2003,376013
41715,2003,373269
41715,2003,372093
41715,2003,370566
41715,2003,369022
41715,2003,366830
41715,2003,363905
41715,2003,360905
41715,2003,358356
41715,2003,356784
41715,2002,355973
41715,2002,354747
41715,2002,353297
41715,2002,351917
41715,2002,350651
41715,2002,350046
41715,2002,350393
41715,2002,351827
41715,2002,355527
41715,2002,358877
41715,2002,361206
41715,2002,361109
41715,2001,360538
41715,2001,362429
41715,2001,364239
41715,2001,366394
41715,2001,366336
41715,2001,365829
41715,2001,363663
41715,2001,360850
41715,2001,357209
41715,2001,354377
41715,2001,351758
41715,2001,349980
41715,2000,347753
41715,2000,345155
41715,2000,342683
41715,2000,340869
41715,2000,339618
41715,2000,338287
41715,2000,336442
41715,2000,334148
41715,2000,331498
41715,2000,329194
41715,2000,327286
41715,2000,325643
41715,1999,324416
41715,1999,323090
41715,1999,321936
41715,1999,320366
41715,1999,319338
41715,1999,318457
41715,1999,319821
41715,1999,322140
41715,1999,324383
41715,1999,324764
41715,1999,325176
41715,1999,325630
41715,1998,326225
41715,1998,325739
41715,1998,325455
41715,1998,325087
41715,1998,325274
41715,1998,325605
41715,1998,325467
41715,1998,324890
41715,1998,324459
41715,1998,324543
41715,1998,324283
41715,1998,323710
41715,1997,323000
41715,1997,322450
41715,1997,321756
41715,1997,321175
41715,1997,320321
41715,1997,319219
41715,1997,317513
41715,1997,316027
41715,1997,314954
41715,1997,314293
41715,1997,313664
41715,1997,313025
41715,1996,312488
41715,1996,312382
41715,1996,312283
41715,1996,312226
41715,1996,312049
41715,1996,312025
41715,1996,312329
41715,1996,312590
41715,1996,312587
41715,1996,312477
41715,1996,312356
41715,1996,312514
126011,2021,604581
126011,2020,597342
126011,2020,590267
126011,2020,578856
126011,2020,574910
126011,2020,579825
126011,2020,575839
126011,2020,567759
126011,2020,563977
126011,2020,563139
126011,2020,562630
126011,2020,561943
126011,2020,561122
126011,2019,559296
126011,2019,558004
126011,2019,557555
126011,2019,558139
126011,2019,557819
126011,2019,558061
126011,2019,559017
126011,2019,559674
126011,2019,559596
126011,2019,558345
126011,2019,557485
126011,2019,555964
126011,2018,557416
126011,2018,558733
126011,2018,559298
126011,2018,558018
126011,2018,557472
